Username,Konten,Lokasi
fikri_arif,"@RokiDermawan @toptobs @OfficialVBogor Saya berharap sisa laga kandang @persib digelar di stadion GBLA&amp;mudah2an ketika lawan persikabo bisa menang sekaligus juara.
Sijalak harupat untuk piala dunia.
GBLA untuk PERSIB.
@pt_lib
@erickthohir @KEMENPORA_RI @KemenPU @farhanpenyiar @ridwankamil @officialvpc 
#GBLAFORPERSIB",Tangerang
Adityasaputrooo,"SPIN mengajukan pertanyaan jika pemilihan presiden dilaksanakan hari ini siapakah cawapres yg bakal dipilih.Jawabannya Waketum Golkar @ridwankamil  menempati posisi teratas dengan hasil 17,2 %.Di posisi kedua ada Menteri BUMN Erick Thohir dengan 17,1 % https://t.co/fQPfFlCVxB","Indramayu, Indonesia"
Adityasaputrooo,"Gubernur Jabar @ridwankamil mengatakan saat ini belum ada rencana untuk maju ke Pilgub DKI.Ia hanya ingin fokus mengerjakan tugasnya sebagai Gubernur di Jabar.Sebelumnya diketahui,Ridwan Kamil tidak sengaja mengucap bahwa ia sebagai gubernur DKI Jakarta 
https://t.co/yPXh1Xeaqi","Indramayu, Indonesia"
Adityasaputrooo,"""Ini adalah arahan Pak Jokowi untuk memulai pembangunan MRT jalur barat ke timur,baratnya dimulai dari Provinsi Banten Balaraja,DKI di Tomang, masuk ke Kota Bekasi &amp; Cikarang,Kab Bekasi,"" kata @ridwankamil dalam keterangannya dikutip, Jumat (17/2/2023).
https://t.co/msFMyO08cB","Indramayu, Indonesia"
Adityasaputrooo,"""Semoga dilancarkan (pembangunan MRT Bekasi) dan jika terwujud akan mengurangi pergerakan warga Bekasi menuju DKI atau sebaliknya yang biasa naik kendaraan pribadi menjadi beralih kepada transportasi massal,"" kata Ridwan Kamil dalam postingannya https://t.co/FFfyibRRGi","Indramayu, Indonesia"
Adityasaputrooo,"""Gini, saya kepada semua orang yang ingin maju Gubernur Jawa Barat, saya bilang, saya doakan. Apapun niat maksudnya Allah mudahkan, itu kalimat saya,Begitu juga untuk istri saya "" kata @ridwankamil kepada wartawan di Gedung Sate, kemarin.

https://t.co/0OYLceENKv","Indramayu, Indonesia"
Adityasaputrooo,"Lucky Hakim mengungkapkan rasa senangnya dalam suatu video di Instagram lantaran persoalan pengunduran dirinya telah direspons @ridwankamil . Lucky mengaku hanya dua kali bertemu dengan Kang Emil selama ia menjabat Wakil Bupati Indramayu.
https://t.co/bhhMX3RUGs","Indramayu, Indonesia"
Adityasaputrooo,"Bupati Bandung Dadang Supriatna meminta Gubernur Jawa Barat @ridwankamil  untuk membuatkan flyover di Jalan Raya Bojongsoang. Keberadaan flyover dianggap perlu menyusul kemacetan yang kerap terjadi di wilayah itu.

https://t.co/fdjnfManEk","Indramayu, Indonesia"
Mfaisalaljabbar,"JANGAN MAIN KE BANDUNG! Pengamen teu dibere asup bus ngamuk, peutingna lampu jalan pararoek, nya loba gengster, beurang macet kabina2 da eweuh transportasi masal nu memadai #janganmainkebandung leres nya pak? @kangyanamulyana @ridwankamil",LAUGH TALE
Adityasaputrooo,"""Arahan Pak Mendagri pak Tito Karnavian, kalau bisa, didamaikan dengan sebuah musyawarah.(Soal konflik Nina-Lucky) rumornya memang begitu,tapi saya harus tabayyun dulu karena masing-masing punya cerita,"" kata @ridwankamil di Gedung Sate, Jumat (17/2/2023).
https://t.co/QePXRaHTyD","Indramayu, Indonesia"
betaamrul,Cc pak gub @ridwankamil,"Kota Bandung, Jawa Barat"
fikri_arif,"@LalajoPersib Intinya STADION SIJALAK HARUPAT UNTUK PIALA DUNIA.
STADION GBLA UNTUK PERSIB.
Kalau izin laga kandang @persib dimudahkan otomatis bobotoh juga akan mendukung suksesnya piala dunia di bandung.
@pt_lib @erickthohir @KEMENPORA_RI @KemenPU @ridwankamil @toptobs @officialvpc",Tangerang
DanteLokal,Lucky Hakim Mau DM Ridwan Kamil https://t.co/xI59t8dKRm,
loaddtrip,@tanyakanrl Muhun di lihat yang ini pak @ridwankamil,20| she/her | Jimin
Adhe25rachman,@tanyakanrl Gilaaa si bobroknya politik di daerah..itu bru indramayu..blm yg lain nya @ridwankamil,"Kebumen, Indonesia"
Isutosuta,@ahporschee @tanyakanrl @ridwankamil liat tuh pak,
nugrahast9,"@tanyakanrl @ridwankamil ini ni pa yang harus cepat di temui,. Karna politik di daerah ngeri,. Orang jujur seakan tenggelam oleh ke busukan.",Indonesia
DimanHerdian,@ridwankamil Beliau sangat layak jadi pahlawan bahkan beliaulah ibu pertiwi..beliau yg selalu menyemangati soekarno unt tetap semangat memerdekakan bangsa bahkan secara sembunyi2 beliau selalu membawa buku doa2 dan alquran ketika menjenguk ke penjara... Dan semua hartanya,
